hand_rank,player_chips,current_bet,min_bet,pot,num_community_cards,action
0.5,0.94,0.2,0.2,0.04,1.0,1
0.1,0.97,0.1,0.2,0.03,0.0,1
0.2,1.0,0.2,0.2,0.04,0.0,1
0.3,0.96,0.2,0.2,0.04,0.6,1
0.3,1.0,0.2,0.2,0.04,0.6,1
0.3,0.96,0.2,0.2,0.04,0.8,1
0.3,1.0,0.2,0.2,0.04,0.8,1
0.3,0.96,0.2,0.2,0.04,1.0,1
0.3,1.0,0.2,0.2,0.04,1.0,1
0.1,1.03,0.1,0.2,0.03,0.0,1
0.1,0.94,0.2,0.2,0.04,0.0,1
0.2,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.6,1
0.2,1.02,0.2,0.2,0.04,0.8,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.3,1.02,0.2,0.2,0.04,1.0,1
0.6,0.94,0.2,0.2,0.04,1.0,2
0.3,1.02,0.2,0.4,0.06,1.0,1
0.1,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,1
0.2,0.98,0.2,0.2,0.04,0.6,1
0.2,0.98,0.2,0.2,0.04,0.6,1
0.3,0.98,0.2,0.2,0.04,0.8,1
0.3,0.98,0.2,0.2,0.04,0.8,1
0.3,0.98,0.2,0.2,0.04,1.0,1
0.3,0.98,0.2,0.2,0.04,1.0,1
0.1,0.99,0.1,0.2,0.03,0.0,1
0.2,0.98,0.2,0.2,0.04,0.0,1
0.2,0.98,0.2,0.2,0.04,0.6,1
0.2,0.98,0.2,0.2,0.04,0.6,1
0.2,0.98,0.2,0.2,0.04,0.8,1
0.2,0.98,0.2,0.2,0.04,0.8,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.1,0.97,0.1,0.2,0.03,0.0,1
0.1,1.0,0.2,0.2,0.04,0.0,1
0.2,0.96,0.2,0.2,0.04,0.6,1
0.2,1.0,0.2,0.2,0.04,0.6,1
0.3,0.96,0.2,0.2,0.04,0.8,1
0.3,1.0,0.2,0.2,0.04,0.8,1
0.3,0.96,0.2,0.2,0.04,1.0,1
0.3,1.0,0.2,0.2,0.04,1.0,1
0.1,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,1
0.2,0.98,0.2,0.2,0.04,0.6,1
0.1,0.98,0.2,0.2,0.04,0.6,1
0.2,0.98,0.2,0.2,0.04,0.8,1
0.1,0.98,0.2,0.2,0.04,0.8,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.1,0.97,0.1,0.2,0.03,0.0,1
0.1,1.0,0.2,0.2,0.04,0.0,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.2,1.0,0.2,0.2,0.04,0.6,1
0.2,0.96,0.2,0.2,0.04,0.8,1
0.3,1.0,0.2,0.2,0.04,0.8,1
0.6,0.96,0.2,0.2,0.04,1.0,2
0.3,1.0,0.2,0.4,0.06,1.0,1
0.1,0.97,0.1,0.2,0.03,0.0,1
0.1,1.0,0.2,0.2,0.04,0.0,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.1,1.0,0.2,0.2,0.04,0.6,1
0.2,0.96,0.2,0.2,0.04,0.8,1
0.2,1.0,0.2,0.2,0.04,0.8,1
0.2,0.96,0.2,0.2,0.04,1.0,1
0.3,1.0,0.2,0.2,0.04,1.0,1
0.1,1.03,0.1,0.2,0.03,0.0,1
0.1,0.94,0.2,0.2,0.04,0.0,1
0.3,1.02,0.2,0.2,0.04,0.6,1
0.1,0.94,0.2,0.2,0.04,0.6,1
0.3,1.02,0.2,0.2,0.04,0.8,1
0.1,0.94,0.2,0.2,0.04,0.8,1
0.3,1.02,0.2,0.2,0.04,1.0,1
0.1,0.94,0.2,0.2,0.04,1.0,1
0.1,0.93,0.1,0.2,0.03,0.0,1
0.1,1.04,0.2,0.2,0.04,0.0,1
0.1,0.92,0.2,0.2,0.04,0.6,1
0.1,1.04,0.2,0.2,0.04,0.6,1
0.2,0.92,0.2,0.2,0.04,0.8,1
0.1,1.04,0.2,0.2,0.04,0.8,1
0.6,0.92,0.2,0.2,0.04,1.0,2
0.1,1.04,0.2,0.4,0.06,1.0,1
0.1,1.01,0.1,0.2,0.03,0.0,1
0.1,0.96,0.2,0.2,0.04,0.0,1
0.1,1.0,0.2,0.2,0.04,0.6,1
0.2,0.96,0.2,0.2,0.04,0.6,1
0.1,1.0,0.2,0.2,0.04,0.8,1
0.2,0.96,0.2,0.2,0.04,0.8,1
0.2,1.0,0.2,0.2,0.04,1.0,1
0.3,0.96,0.2,0.2,0.04,1.0,1
0.1,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,1
0.2,0.98,0.2,0.2,0.04,0.6,1
0.3,0.98,0.2,0.2,0.04,0.6,1
0.2,0.98,0.2,0.2,0.04,0.8,1
0.3,0.98,0.2,0.2,0.04,0.8,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.3,0.98,0.2,0.2,0.04,1.0,1
0.2,1.01,0.1,0.2,0.03,0.0,1
0.1,0.96,0.2,0.2,0.04,0.0,1
0.2,1.0,0.2,0.2,0.04,0.6,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.2,1.0,0.2,0.2,0.04,0.8,1
0.1,0.96,0.2,0.2,0.04,0.8,1
0.2,1.0,0.2,0.2,0.04,1.0,1
0.2,0.96,0.2,0.2,0.04,1.0,1
0.1,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,1
0.1,0.98,0.2,0.2,0.04,0.6,1
0.1,0.98,0.2,0.2,0.04,0.6,1
0.2,0.98,0.2,0.2,0.04,0.8,1
0.2,0.98,0.2,0.2,0.04,0.8,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.2,0.98,0.2,0.2,0.04,1.0,1
0.2,1.01,0.1,0.2,0.03,0.0,1
0.1,0.96,0.2,0.2,0.04,0.0,1
0.4,1.0,0.2,0.2,0.04,0.6,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.4,1.0,0.2,0.2,0.04,0.8,1
0.1,0.96,0.2,0.2,0.04,0.8,1
0.4,1.0,0.2,0.2,0.04,1.0,1
0.1,0.96,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.2,0.94,0.2,0.2,0.04,0.6,1
0.3,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.3,1.02,0.2,0.2,0.04,0.8,1
0.2,0.94,0.2,0.2,0.04,1.0,1
0.3,1.02,0.2,0.2,0.04,1.0,1
0.1,1.05,0.1,0.2,0.03,0.0,1
0.1,0.92,0.2,0.2,0.04,0.0,1
0.1,1.04,0.2,0.2,0.04,0.6,1
0.2,0.92,0.2,0.2,0.04,0.6,1
0.2,1.04,0.2,0.2,0.04,0.8,1
0.3,0.92,0.2,0.2,0.04,0.8,1
0.2,1.04,0.2,0.2,0.04,1.0,1
0.3,0.92,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.1,0.94,0.2,0.2,0.04,0.6,1
0.1,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.2,1.02,0.2,0.2,0.04,0.8,1
0.2,0.94,0.2,0.2,0.04,1.0,1
0.2,1.02,0.2,0.2,0.04,1.0,1
0.2,1.01,0.1,0.2,0.03,0.0,1
0.1,0.96,0.2,0.2,0.04,0.0,1
0.2,1.0,0.2,0.2,0.04,0.6,1
0.2,0.96,0.2,0.2,0.04,0.6,1
0.2,1.0,0.2,0.2,0.04,0.8,1
0.2,0.96,0.2,0.2,0.04,0.8,1
0.3,1.0,0.2,0.2,0.04,1.0,1
0.3,0.96,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.1,0.94,0.2,0.2,0.04,0.6,1
0.1,1.02,0.2,0.2,0.04,0.6,1
0.1,0.94,0.2,0.2,0.04,0.8,1
0.2,1.02,0.2,0.2,0.04,0.8,1
0.2,0.94,0.2,0.2,0.04,1.0,1
0.2,1.02,0.2,0.2,0.04,1.0,1
0.1,1.01,0.1,0.2,0.03,0.0,1
0.1,0.96,0.2,0.2,0.04,0.0,1
0.2,1.0,0.2,0.2,0.04,0.6,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.3,1.0,0.2,0.2,0.04,0.8,1
0.1,0.96,0.2,0.2,0.04,0.8,1
0.3,1.0,0.2,0.2,0.04,1.0,1
0.1,0.96,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.1,0.94,0.2,0.2,0.04,0.6,1
0.2,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.3,1.02,0.2,0.2,0.04,0.8,1
0.2,0.94,0.2,0.2,0.04,1.0,1
0.3,1.02,0.2,0.2,0.04,1.0,1
0.1,1.05,0.1,0.2,0.03,0.0,1
0.1,0.92,0.2,0.2,0.04,0.0,1
0.1,1.04,0.2,0.2,0.04,0.6,1
0.1,0.92,0.2,0.2,0.04,0.6,1
0.2,1.04,0.2,0.2,0.04,0.8,1
0.2,0.92,0.2,0.2,0.04,0.8,1
0.2,1.04,0.2,0.2,0.04,1.0,1
0.2,0.92,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.1,0.94,0.2,0.2,0.04,0.6,1
0.2,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.4,1.02,0.2,0.2,0.04,0.8,1
0.3,0.94,0.2,0.2,0.04,1.0,1
0.4,1.02,0.2,0.2,0.04,1.0,1
0.1,1.05,0.1,0.2,0.03,0.0,1
0.1,0.92,0.2,0.2,0.04,0.0,1
0.1,1.04,0.2,0.2,0.04,0.6,1
0.2,0.92,0.2,0.2,0.04,0.6,1
0.1,1.04,0.2,0.2,0.04,0.8,1
0.2,0.92,0.2,0.2,0.04,0.8,1
0.1,1.04,0.2,0.2,0.04,1.0,1
0.3,0.92,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.1,0.94,0.2,0.2,0.04,0.6,1
0.2,1.02,0.2,0.2,0.04,0.6,1
0.1,0.94,0.2,0.2,0.04,0.8,1
0.2,1.02,0.2,0.2,0.04,0.8,1
0.1,0.94,0.2,0.2,0.04,1.0,1
0.2,1.02,0.2,0.2,0.04,1.0,1
0.1,1.05,0.1,0.2,0.03,0.0,1
0.1,0.92,0.2,0.2,0.04,0.0,1
0.2,1.04,0.2,0.2,0.04,0.6,1
0.2,0.92,0.2,0.2,0.04,0.6,1
0.2,1.04,0.2,0.2,0.04,0.8,1
0.2,0.92,0.2,0.2,0.04,0.8,1
0.2,1.04,0.2,0.2,0.04,1.0,1
0.2,0.92,0.2,0.2,0.04,1.0,1
0.2,0.91,0.1,0.2,0.03,0.0,1
0.1,1.06,0.2,0.2,0.04,0.0,1
0.2,0.9,0.2,0.2,0.04,0.6,1
0.1,1.06,0.2,0.2,0.04,0.6,1
0.2,0.9,0.2,0.2,0.04,0.8,1
0.2,1.06,0.2,0.2,0.04,0.8,1
0.3,0.9,0.2,0.2,0.04,1.0,1
0.3,1.06,0.2,0.2,0.04,1.0,1
0.1,1.05,0.1,0.2,0.03,0.0,1
0.1,0.92,0.2,0.2,0.04,0.0,1
0.1,1.04,0.2,0.2,0.04,0.6,1
0.1,0.92,0.2,0.2,0.04,0.6,1
0.1,1.04,0.2,0.2,0.04,0.8,1
0.1,0.92,0.2,0.2,0.04,0.8,1
0.2,1.04,0.2,0.2,0.04,1.0,1
0.2,0.92,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.2,0.94,0.2,0.2,0.04,0.6,1
0.1,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.1,1.02,0.2,0.2,0.04,0.8,1
0.3,0.94,0.2,0.2,0.04,1.0,1
0.2,1.02,0.2,0.2,0.04,1.0,1
0.1,1.01,0.1,0.2,0.03,0.0,1
0.1,0.96,0.2,0.2,0.04,0.0,1
0.2,1.0,0.2,0.2,0.04,0.6,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.2,1.0,0.2,0.2,0.04,0.8,1
0.1,0.96,0.2,0.2,0.04,0.8,1
0.4,1.0,0.2,0.2,0.04,1.0,1
0.2,0.96,0.2,0.2,0.04,1.0,1
0.1,0.95,0.1,0.2,0.03,0.0,1
0.1,1.02,0.2,0.2,0.04,0.0,1
0.2,0.94,0.2,0.2,0.04,0.6,1
0.2,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.2,1.02,0.2,0.2,0.04,0.8,1
0.4,0.94,0.2,0.2,0.04,1.0,1
0.4,1.02,0.2,0.2,0.04,1.0,1
0.1,1.01,0.1,0.2,0.03,0.0,1
0.1,0.96,0.2,0.2,0.04,0.0,1
0.1,1.0,0.2,0.2,0.04,0.6,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.2,1.0,0.2,0.2,0.04,0.8,1
0.2,0.96,0.2,0.2,0.04,0.8,1
0.2,1.0,0.2,0.2,0.04,1.0,1
0.2,0.96,0.2,0.2,0.04,1.0,1
0.1,0.99,0.1,0.2,0.03,0.0,1
0.1,0.98,0.2,0.2,0.04,0.0,1
0.3,0.98,0.2,0.2,0.04,0.6,1
0.1,0.98,0.2,0.2,0.04,0.6,1
0.3,0.98,0.2,0.2,0.04,0.8,1
0.1,0.98,0.2,0.2,0.04,0.8,1
0.3,0.98,0.2,0.2,0.04,1.0,1
0.1,0.98,0.2,0.2,0.04,1.0,1
0.1,0.97,0.1,0.2,0.03,0.0,1
0.2,1.0,0.2,0.2,0.04,0.0,1
0.1,0.96,0.2,0.2,0.04,0.6,1
0.4,1.0,0.2,0.2,0.04,0.6,1
0.2,0.96,0.2,0.2,0.04,0.8,1
0.7,1.0,0.2,0.2,0.04,0.8,2
0.2,0.96,0.2,0.4,0.06,0.8,1
0.2,0.94,0.4,0.4,0.08,1.0,1
0.7,0.98,0.4,0.4,0.08,1.0,2
0.2,0.94,0.4,0.6,0.1,1.0,1
0.1,1.07,0.1,0.2,0.03,0.0,1
0.1,0.9,0.2,0.2,0.04,0.0,1
0.2,1.06,0.2,0.2,0.04,0.6,1
0.2,0.9,0.2,0.2,0.04,0.6,1
0.2,1.06,0.2,0.2,0.04,0.8,1
0.2,0.9,0.2,0.2,0.04,0.8,1
0.2,1.06,0.2,0.2,0.04,1.0,1
0.2,0.9,0.2,0.2,0.04,1.0,1
0.1,0.93,0.1,0.2,0.03,0.0,1
0.1,1.04,0.2,0.2,0.04,0.0,1
0.1,0.92,0.2,0.2,0.04,0.6,1
0.1,1.04,0.2,0.2,0.04,0.6,1
0.2,0.92,0.2,0.2,0.04,0.8,1
0.1,1.04,0.2,0.2,0.04,0.8,1
0.2,0.92,0.2,0.2,0.04,1.0,1
0.1,1.04,0.2,0.2,0.04,1.0,1
0.1,1.03,0.1,0.2,0.03,0.0,1
0.1,0.94,0.2,0.2,0.04,0.0,1
0.2,1.02,0.2,0.2,0.04,0.6,1
0.2,0.94,0.2,0.2,0.04,0.6,1
0.2,1.02,0.2,0.2,0.04,0.8,1
0.2,0.94,0.2,0.2,0.04,0.8,1
0.2,1.02,0.2,0.2,0.04,1.0,1
0.2,0.94,0.2,0.2,0.04,1.0,1
0.1,0.93,0.1,0.2,0.03,0.0,1
0.1,1.04,0.2,0.2,0.04,0.0,1
0.1,0.92,0.2,0.2,0.04,0.6,1
0.2,1.04,0.2,0.2,0.04,0.6,1
0.1,0.92,0.2,0.2,0.04,0.8,1
0.2,1.04,0.2,0.2,0.04,0.8,1
0.1,0.92,0.2,0.2,0.04,1.0,1
0.2,1.04,0.2,0.2,0.04,1.0,1
0.1,1.07,0.1,0.2,0.03,0.0,1
0.1,0.9,0.2,0.2,0.04,0.0,1
0.2,1.06,0.2,0.2,0.04,0.6,1
0.1,0.9,0.2,0.2,0.04,0.6,1
0.3,1.06,0.2,0.2,0.04,0.8,1
0.2,0.9,0.2,0.2,0.04,0.8,1
0.3,1.06,0.2,0.2,0.04,1.0,1
0.2,0.9,0.2,0.2,0.04,1.0,1
